ID Empreendimento,Mes,01. Receita Operacional Bruta (R),02. Deducoes da Receita Bruta (R),03. Receita Operacional Liquida (R),04. Custo dos Produtos/Servicos Vendidos (R),05. Lucro Bruto (R),06. Despesas com Vendas (R),07. Despesas Administrativas (R),08. Outras Despesas Operacionais (R),09. EBITDA (R),10. Depreciacao e Amortizacao (R),11. EBIT (R),12. Resultado Financeiro (R),13. EBT (R),14. Imposto de Renda e Contribuicao Social (R),15. Lucro Liquido (R)
5,2023-06-01,259324.15,14165.61,402270.17,99926.1,313721.3,16149.12,21903.52,11117.98,293792.45,18728.73,137131.01,-3781.23,193362.9,75834.61,261434.95
1,2023-08-01,492958.02,6348.65,307574.25,140518.59,81873.29,19524.22,4253.31,3798.4,39785.31,16109.31,244485.07,12517.52,53111.38,3660.68,50720.16
2,2023-09-01,238214.3,24376.46,111390.21,30862.86,24333.14,4970.19,26845.68,6585.26,196290.54,4945.92,70878.87,-13429.84,126650.92,68198.22,149274.59
4,2023-06-01,248848.08,24446.39,207910.05,110186.53,257311.58,10584.33,19949.18,4265.69,21593.0,15684.69,252059.92,-19387.88,206039.06,10146.49,195162.33
1,2023-05-01,343892.54,17217.42,466920.81,125081.97,303162.88,2737.7,13526.34,14743.18,162378.77,7363.33,49036.19,9711.37,122383.35,78131.52,123643.05
4,2023-12-01,209738.95,12844.1,292802.99,119337.75,95226.02,2563.21,15601.61,9895.97,42365.94,12572.42,53158.18,17772.37,193338.81,33395.26,179811.87
2,2023-11-01,379428.59,15239.86,189558.43,32372.29,67292.23,2982.32,21549.34,4641.58,40648.05,9498.02,286562.7,13877.28,15946.35,40168.6,162190.82
2,2023-02-01,161140.12,20245.99,440377.9,50866.03,88298.26,5930.57,22461.15,2182.26,96202.03,5757.91,18059.08,9963.18,117151.61,37888.62,236827.92
1,2023-02-01,143210.13,9463.86,209400.25,41327.92,211498.69,14230.36,24531.77,6861.27,83864.76,13408.17,18826.91,-15815.58,90694.65,48944.11,209342.85
2,2023-09-01,313951.2,13834.45,366962.93,40254.5,196601.26,17361.56,9382.39,3126.71,53993.34,14662.31,39456.51,11785.37,174810.13,53330.58,103197.58
5,2023-02-01,322197.47,19745.37,133888.2,117622.1,209510.75,9283.92,26020.03,2924.57,180072.34,11038.14,62937.42,394.23,35185.02,81746.29,54410.8
2,2023-02-01,142662.03,12907.85,137597.25,80974.72,22358.91,11548.86,25256.75,4778.2,267339.69,4078.62,29177.14,-8161.17,131798.3,8743.57,7987.1
4,2023-03-01,485670.5,5639.93,299525.61,116978.57,67881.06,4920.97,25942.37,14512.56,276467.16,10396.12,276157.21,19108.28,173126.07,62743.46,207107.03
4,2023-03-01,329314.66,15147.89,170929.33,73290.29,94187.6,16030.54,4263.2,6297.62,97763.72,15611.11,94438.44,14532.63,30349.07,13229.4,213615.75
4,2023-04-01,160414.0,19748.22,94732.83,44045.92,232611.07,17878.73,6021.35,3550.23,261403.33,17083.56,280294.05,-3575.7,151228.38,44539.83,241612.91
4,2023-07-01,224577.01,24536.33,445586.18,116214.25,205667.88,10226.34,19493.32,5262.39,290741.71,1512.08,255402.78,-11820.75,213598.81,39793.71,78851.61
5,2023-09-01,420093.69,5740.92,97395.82,105126.86,210289.86,4056.61,28683.86,7427.35,103967.25,4545.55,224331.98,15916.6,165122.97,82909.4,115911.04
3,2023-02-01,309292.61,15798.41,361975.15,43557.14,194067.88,1096.93,5077.72,1541.77,282099.91,18671.33,17563.82,-3420.56,16959.34,7555.23,114068.41
1,2023-04-01,175259.34,13998.77,208194.33,140923.73,247076.81,11191.81,22687.93,4922.41,136418.32,15852.39,213670.08,17154.01,150506.13,23225.87,149610.32
4,2023-09-01,141139.59,9848.98,448401.99,67070.5,307216.82,10455.08,5811.24,2576.42,147253.21,14651.62,115690.93,-7634.35,76827.67,2142.39,197702.97
2,2023-02-01,272309.76,17755.25,469420.96,108567.61,225437.75,18590.36,28613.08,1809.51,151912.75,3620.97,255077.08,-3409.79,249100.7,75549.07,162813.53
4,2023-10-01,234965.88,8272.45,209172.26,33837.71,247213.51,1693.2,24403.25,13680.4,223373.2,1082.85,164636.24,16249.8,172133.93,30072.42,15173.41
2,2023-11-01,362366.94,10677.3,311442.73,83165.09,205496.72,3830.08,10074.25,4620.1,89279.62,12186.99,75125.69,-17612.81,46307.54,1848.37,193640.83
2,2023-01-01,470098.79,20635.15,384193.9,145723.7,263279.34,4756.05,3332.75,3532.48,83499.92,17454.77,179812.8,19080.32,182143.37,61712.8,172090.65
4,2023-10-01,199092.11,14208.23,124363.74,136381.03,307610.49,11395.37,14226.09,10655.1,194413.86,2353.79,158605.59,-18225.0,169691.33,7650.59,168445.78
5,2023-08-01,442093.57,24873.41,358784.92,56561.67,204556.58,6409.99,16702.04,1333.01,173916.36,2318.2,203824.23,4105.61,18328.89,47610.62,259926.84
2,2023-09-01,468184.79,12729.21,437478.99,135495.64,75207.06,4907.9,16758.06,14611.97,35247.49,19972.51,81020.0,-950.77,130067.42,55144.21,113672.86
2,2023-07-01,460801.04,14265.22,146401.02,65168.42,254931.27,10773.89,25853.21,14782.47,272217.03,5491.28,287146.74,3178.42,207880.77,31105.67,98412.23
4,2023-08-01,480830.93,11005.16,410484.04,132268.13,218504.11,1772.41,29465.2,11590.95,97839.1,13640.37,197454.29,-5161.02,113850.93,45840.36,50112.0
2,2023-04-01,436843.45,9725.87,121241.39,117507.23,304749.42,19529.61,14093.71,14811.88,229025.85,11598.57,118019.6,9765.79,123277.78,75557.37,90594.73
2,2023-04-01,337394.4,23445.63,302320.68,72246.31,103000.86,17359.35,6586.24,4213.65,179849.22,8876.03,175018.77,10903.63,18785.53,12931.61,176614.73
4,2023-02-01,263938.44,19976.53,210745.47,139294.91,315861.18,6167.27,12555.14,4192.17,178085.73,16255.59,124185.28,8440.88,87684.8,65257.96,137216.85
4,2023-08-01,296675.11,11668.05,263686.34,88233.52,188306.96,7387.23,21939.62,13099.65,259737.39,5519.38,252519.86,-18633.95,273718.19,18218.23,139982.91
1,2023-11-01,449044.87,19003.12,195252.87,68123.29,314019.32,5672.07,18342.71,9308.81,265928.45,6317.33,273406.85,-19776.63,236246.49,56838.84,31352.08
5,2023-02-01,220559.35,24315.68,179215.75,63562.3,259131.97,18639.58,4430.1,10984.71,174647.86,6061.35,264445.48,6943.49,26699.97,70678.98,123342.77
5,2023-09-01,163704.68,6480.96,372255.68,142688.05,284117.71,13410.75,7878.4,700.29,137099.09,11396.07,129891.46,-15310.82,89663.9,11998.15,100407.65
2,2023-04-01,156327.69,10290.09,164245.29,121029.72,118771.71,10902.4,21418.69,7225.94,191719.4,13464.97,70908.4,-17871.99,164028.16,54444.42,198338.95
5,2023-01-01,430797.84,9011.57,238365.22,71987.89,86927.47,10663.39,21546.13,4535.97,49103.48,2760.42,179610.94,-17889.61,28088.13,69547.47,28562.03
2,2023-04-01,404594.27,22395.66,184822.83,60500.21,210345.51,4152.49,19052.67,2732.75,134707.34,3787.01,167531.63,-19376.51,199861.85,75551.41,214374.5
1,2023-03-01,299058.14,8583.81,170454.03,55394.05,134170.99,19290.28,10233.03,8022.46,203658.6,3246.14,27919.59,7814.93,202003.51,20539.1,138753.36
4,2023-12-01,209948.57,11161.52,325838.44,59339.12,320697.96,18377.35,6571.14,4514.81,232460.94,13376.3,248158.07,19201.87,163390.72,19635.84,185937.41
4,2023-06-01,371045.27,15877.22,93171.45,43317.53,171126.61,19096.0,8406.84,8379.42,220570.01,12883.07,20535.31,2380.53,201658.81,34240.88,276732.51
4,2023-07-01,115373.24,17421.89,390559.49,88168.2,53694.72,6527.71,24611.59,1633.92,64765.73,16772.72,19971.78,6153.02,19776.04,72028.61,223719.22
5,2023-08-01,327291.13,21163.68,293493.63,34928.66,172134.82,10056.32,15679.86,12066.87,189290.07,6443.7,215682.73,8222.08,75839.5,78404.65,137991.01
1,2023-02-01,259370.07,13146.46,406374.96,31381.76,183200.31,10859.6,11833.62,14268.64,40743.62,14919.3,274184.74,-16649.17,100602.73,50156.96,105650.85
5,2023-06-01,491143.85,15684.89,160206.39,104168.71,21442.26,10303.82,5805.51,9626.27,184858.85,6418.27,205482.42,6177.9,262107.17,75124.67,247274.38
5,2023-06-01,303024.1,24309.24,358762.42,40617.52,94874.27,1364.6,12992.15,2570.37,227591.18,15281.84,229121.59,14198.64,264507.54,5957.92,42162.31
1,2023-10-01,320907.1,10947.23,243233.54,131425.15,20408.56,16829.84,13698.27,11361.59,194945.06,12551.63,266831.85,13180.98,255575.69,9571.54,73951.1
1,2023-12-01,384945.07,9961.88,105721.59,42807.45,191105.39,15184.36,26808.81,13236.34,193100.55,8865.08,101149.91,-8133.23,101180.0,16432.49,243540.11
1,2023-05-01,293815.39,19211.98,375990.56,95120.28,109100.81,10021.17,28323.18,5813.92,201143.87,13066.59,182242.89,-19445.75,279886.82,52500.39,72058.07
1,2023-10-01,189827.45,20422.73,379874.89,111060.44,72828.31,6080.64,25504.54,7949.67,134145.51,17061.05,110485.94,6555.53,33545.66,30453.38,50161.48
4,2023-10-01,314911.14,13295.58,183366.75,57498.66,275767.98,13064.56,12868.97,1423.43,124722.46,5216.57,230475.69,8421.46,140956.88,18356.67,227874.81
3,2023-07-01,477707.55,9259.58,441418.41,136591.7,29155.38,3627.55,17656.84,8441.38,141810.78,12685.04,233036.03,17481.27,108011.19,59372.4,122990.35
3,2023-03-01,263964.4,20578.45,380587.92,87766.43,230971.26,19948.28,25553.1,1188.29,75225.61,19873.27,146113.18,-16586.34,198149.66,47553.75,247611.93
1,2023-04-01,371856.38,18409.86,197702.95,67838.29,194764.74,3381.46,3412.69,5605.45,144341.92,16150.79,225081.86,18397.78,172250.49,84665.66,86446.48
3,2023-10-01,491213.68,22524.56,170643.58,138135.43,255323.43,2110.63,16919.31,4535.3,272805.66,6687.44,118988.98,-19216.3,212575.03,79402.74,163294.92
3,2023-09-01,431968.93,21886.53,251035.82,133000.83,60340.31,12635.77,13161.69,3152.57,97858.76,15906.47,200533.62,-2296.15,256554.32,26835.16,85719.08
1,2023-04-01,363613.65,9103.9,192115.93,115155.29,285831.91,9804.82,12668.91,12868.8,137855.38,10402.48,97540.73,-3771.41,199149.67,49809.22,233651.83
3,2023-03-01,394398.6,21646.78,161809.22,64857.89,118097.42,14661.01,11802.52,9249.95,199109.75,15835.47,45125.98,-19521.64,203371.03,32540.24,90370.81
5,2023-02-01,474593.3,8503.47,234640.3,76824.76,22606.89,3431.38,19932.99,10331.97,233651.62,2856.93,241272.17,10112.37,26783.41,55822.95,87142.37
2,2023-05-01,483900.84,22274.08,85281.69,112768.0,220286.46,7911.17,13685.12,7638.69,17587.95,17251.26,19283.77,-19324.52,36698.31,46673.64,152050.37
2,2023-04-01,487587.25,20406.42,235564.43,52234.12,282102.3,10519.63,11020.71,11338.46,204261.98,19894.2,144238.79,12488.81,108767.19,79099.11,170990.8
1,2023-08-01,350256.65,16397.22,163665.05,89413.5,127875.89,9492.83,17856.41,5866.65,55868.74,9393.7,277760.09,-7296.51,123340.59,53049.47,64022.43
4,2023-07-01,253884.66,17844.43,180733.67,118526.67,180910.1,12077.64,12447.65,6899.92,227014.31,10737.97,10285.27,-12363.59,49055.63,34883.85,3839.0
1,2023-06-01,153261.25,7081.59,108021.31,108925.55,145761.6,2933.25,2971.38,1706.62,53743.8,4554.73,271868.61,-120.07,42899.5,57039.27,53943.76
4,2023-11-01,254219.2,5797.7,310572.67,116391.97,32951.93,10570.77,13693.65,5135.31,228777.77,13987.68,34963.07,-18964.56,121934.16,59713.61,231774.47
2,2023-12-01,477182.18,11612.93,263803.69,137030.31,249704.44,11540.57,7490.51,2030.5,284537.81,2473.19,170607.52,-13434.54,125037.67,67666.59,248272.2
1,2023-02-01,455918.83,21428.12,375250.95,146194.4,307148.85,17739.42,4797.58,7483.77,78710.01,11765.92,133112.18,17287.11,232271.41,30514.69,188606.71
5,2023-03-01,309463.86,14315.71,469839.45,85006.02,148123.75,11850.45,26432.75,14111.7,17487.82,8950.56,65216.69,16483.85,87525.45,36431.95,74085.66
3,2023-10-01,314802.91,9467.88,122813.6,37197.82,64052.91,11398.61,21371.08,12259.88,46610.85,4799.48,208843.36,-11207.89,206401.14,25061.33,52777.92
4,2023-09-01,223568.14,21690.98,183970.04,130122.04,174047.68,16429.48,12664.88,6840.06,277005.67,16674.4,92258.08,-14541.31,219780.17,26664.45,51734.61
3,2023-09-01,281803.16,9572.55,347981.65,44155.91,295950.18,2234.95,29587.66,4860.25,149056.91,15271.21,218910.31,528.11,118150.59,34339.33,253452.61
3,2023-05-01,385779.4,21309.87,169924.8,56333.33,204774.9,13311.28,12281.48,5276.64,168233.77,6694.3,120319.69,7139.76,189767.04,20249.81,144725.82
1,2023-03-01,260972.29,14059.59,87059.01,108380.09,84769.06,16424.28,8844.85,7353.51,58629.02,8339.08,21906.5,-9378.62,132875.85,27000.34,149532.23
3,2023-02-01,175193.55,14269.9,118922.65,119488.23,188728.51,2797.32,15258.21,4020.95,296319.76,5799.17,130671.04,-11110.89,115986.82,62868.24,133085.56
5,2023-08-01,316343.83,10454.39,248450.77,113357.67,119693.94,16419.88,28475.75,5403.03,67009.35,4986.2,192670.46,19599.1,94460.5,13859.43,191813.12
3,2023-06-01,190134.76,23003.48,247313.86,82619.06,27185.81,15955.96,20591.58,7638.05,186642.19,5206.21,44169.48,-511.06,211953.22,37468.56,152013.61
1,2023-10-01,489715.02,6775.71,463921.88,140168.05,298660.92,1017.92,22456.61,12695.46,177284.21,3542.24,240853.88,15418.57,115562.21,35039.84,179147.58
5,2023-11-01,256135.97,7888.13,261380.01,129863.55,262308.9,5676.99,6628.18,1882.89,33640.38,7439.97,178767.05,-4762.31,145805.22,40334.09,259842.59
2,2023-12-01,463865.99,17717.7,346227.08,109641.91,301843.34,3873.91,3124.09,6369.33,298985.35,14181.14,263333.72,-17541.89,176877.17,24074.16,210705.7
3,2023-07-01,190221.6,22002.31,271880.4,82929.08,228253.26,10715.42,17039.61,3260.85,171765.99,5999.03,267335.72,-9064.19,205587.24,25894.48,67861.59
1,2023-01-01,175683.6,6909.03,182967.4,85659.11,157170.28,18366.13,11249.19,9736.98,59337.32,14355.34,280376.39,6003.72,35624.27,9703.38,81138.38
2,2023-01-01,346760.45,19675.04,117180.43,51116.0,170422.47,12451.42,3194.42,8775.26,230119.33,15541.37,130696.48,1768.88,170716.3,19123.76,224731.39
2,2023-10-01,411751.63,19850.23,418629.61,123564.6,82409.22,12434.26,27092.37,8870.31,126843.39,7425.79,103619.81,-5665.96,148762.79,58582.4,143970.39
4,2023-02-01,326705.83,16630.45,136065.08,133915.61,137821.23,3334.12,2702.87,8224.97,205978.8,2096.03,247748.97,583.24,228678.75,4084.22,36942.22
5,2023-10-01,191918.27,14734.56,113757.45,129273.8,69974.53,13661.21,2354.34,11136.96,78678.13,14638.37,196324.4,19881.47,88251.61,37511.9,17949.29
3,2023-03-01,115157.75,11421.76,160531.44,95651.75,164405.86,17878.09,10376.74,2733.86,277845.8,3638.8,111039.67,7861.51,229256.07,70910.55,46588.01
1,2023-12-01,347315.53,12029.24,75995.46,130552.94,217005.31,9157.6,15923.12,3194.15,26667.78,6205.14,260588.79,6199.84,215446.91,7021.28,124399.3
4,2023-01-01,152414.89,18488.67,103786.06,124849.06,98261.85,13953.59,14622.29,10779.03,20767.35,12240.21,82016.37,2214.1,239419.3,5582.45,12064.32
5,2023-05-01,237270.55,6305.75,329078.71,129883.12,307849.06,6603.69,12079.37,2410.75,261477.25,18471.04,264796.59,-12653.01,55113.37,5308.59,26035.87
4,2023-03-01,370313.9,16698.7,172419.04,147832.0,217288.06,6109.09,26185.79,11041.15,170096.35,15348.63,234524.02,4718.34,250919.37,52332.01,205356.61
5,2023-01-01,139209.38,10574.64,210404.84,127200.0,87074.9,4516.77,10332.39,2884.13,112328.17,6115.26,125416.11,3133.51,129304.85,73784.98,259565.02
5,2023-08-01,150900.59,14332.12,409119.9,62482.8,70935.19,5588.55,20278.11,14877.84,55226.14,16442.81,110180.3,11481.14,143720.77,66064.72,14937.58
3,2023-12-01,124666.48,16179.59,384159.83,128503.55,71841.08,7512.41,13161.02,1154.38,32047.22,8786.17,257166.16,-6916.47,66109.07,74050.56,56460.82
5,2023-11-01,498431.65,22713.19,271899.24,75076.21,317025.98,11767.83,12882.89,11758.05,99216.07,3738.98,145854.99,-3963.55,244073.33,51283.8,32665.37
4,2023-06-01,254830.71,16581.5,320190.66,91943.07,92170.0,15832.44,28118.65,3863.41,246151.61,6879.02,224841.65,19690.35,65394.21,31444.63,160456.01
5,2023-09-01,462318.07,9543.19,109324.51,125567.94,71354.01,6501.7,21528.52,5192.63,69860.74,16614.37,190601.75,-6122.67,158590.38,58679.65,223235.7
3,2023-03-01,217434.26,6589.19,379637.88,68006.26,70016.87,4194.12,17069.77,13721.3,294151.12,8047.92,59613.77,2011.3,63760.26,18704.57,122284.04
3,2023-09-01,401281.03,17539.77,281476.59,33129.98,125009.91,9545.49,6889.39,4945.68,240607.05,8219.1,262497.15,-7205.83,116910.29,9718.76,9246.99
4,2023-09-01,187626.65,15900.97,303379.64,116177.34,207671.29,16000.78,5852.59,5966.96,18363.66,19551.83,183316.06,5878.46,247119.85,82789.88,105417.73
2,2023-12-01,299329.88,18435.96,341210.79,138260.89,44118.68,8397.32,7422.13,3141.96,171657.73,10808.91,101279.76,10900.53,12565.82,25060.01,46832.23
2,2023-12-01,429846.3,14187.93,275070.12,141346.61,68627.55,18352.22,19554.22,1619.02,127820.47,10439.28,111151.05,7415.9,166407.42,51573.76,77146.51
5,2023-01-01,426533.76,21502.52,283677.05,125869.22,317818.07,5710.38,3568.52,2065.8,141546.51,14868.12,76155.93,2429.03,228902.43,78690.96,31461.37
1,2023-03-01,417712.29,23403.59,274854.23,142217.14,208426.53,15407.96,14994.78,9108.08,141412.28,19272.24,174695.39,-7534.54,98203.07,73632.21,101653.09
5,2023-06-01,429493.77,5800.09,273726.99,128478.73,62603.42,9887.41,14872.99,1178.73,257577.47,19796.89,62391.0,3372.91,187574.59,30392.91,155008.81
4,2023-08-01,184588.91,19881.73,375082.12,33611.89,187779.72,3035.39,27698.54,3772.46,210404.18,15824.55,111061.4,10933.41,80212.21,38279.15,219491.68
4,2023-04-01,292886.51,5703.21,245883.41,71958.65,93485.95,6340.37,12357.84,6205.93,97847.77,17558.25,273078.25,-13802.71,255565.72,56361.63,106589.89
4,2023-05-01,293948.59,13901.93,76157.33,70332.76,316953.0,17306.24,27104.65,2073.24,161952.85,18238.98,22310.04,-2282.58,79009.54,45578.3,448.1
4,2023-09-01,456200.99,14232.06,319825.27,56299.72,138587.65,1111.88,19222.29,11350.49,153789.48,15154.88,211889.01,15015.44,178151.88,83831.02,187974.52
4,2023-06-01,218756.73,18924.37,456064.99,125752.44,63424.41,15370.49,12922.75,14586.34,96824.64,11724.33,47662.14,59.35,49317.29,18222.71,194049.46
3,2023-12-01,472598.36,12048.07,177783.93,92410.78,206954.44,16416.72,16744.31,13477.16,191839.59,5751.76,111372.02,15978.62,50232.92,77488.72,36504.92
2,2023-07-01,280318.29,21418.03,401477.33,130354.73,61878.61,3276.91,4638.27,14327.92,195024.27,14845.86,170613.06,-16659.34,261099.93,66183.23,135957.46
4,2023-07-01,367914.8,11857.28,257196.08,102161.91,178011.33,19281.6,26909.35,8400.54,45590.23,10534.7,285261.18,-9245.56,22430.72,51481.51,14207.6
1,2023-04-01,207553.24,11850.36,332192.83,100873.12,279931.05,17573.52,19681.92,2646.91,40412.07,18426.37,99671.16,208.06,52874.08,74433.5,173851.37
1,2023-04-01,264119.24,9455.21,431349.49,76097.81,125447.88,4392.09,14197.11,10168.59,23454.45,1026.04,63557.94,-12365.74,234651.3,5586.49,251566.74
1,2023-04-01,383920.37,18677.38,383405.45,124752.35,165631.86,5587.68,23720.66,1365.27,183808.35,18484.24,185234.63,2985.0,95020.06,3116.11,115035.51
1,2023-11-01,305098.86,6531.74,428829.36,111971.0,53039.46,16550.7,13325.75,7403.86,298829.13,19049.18,143172.76,-764.11,198818.68,75746.43,131887.28
3,2023-05-01,472283.2,12261.1,78807.99,70650.22,217134.14,11381.09,14907.61,11945.01,273972.23,5169.9,82990.81,17433.54,125111.67,28497.15,267476.68
1,2023-05-01,394849.99,10337.81,149925.99,149228.8,54196.56,18528.79,13816.7,12896.33,146378.27,17701.66,214954.8,6251.03,122862.54,2523.29,204765.38
4,2023-08-01,325761.17,9586.71,244397.77,85534.7,119724.24,19603.68,29903.45,4782.86,105881.33,12212.94,227493.93,-19442.1,90558.47,72934.95,252443.26
5,2023-09-01,454667.9,6219.67,414136.72,67990.82,276560.77,7525.38,23565.08,3718.11,223979.49,6574.26,215185.28,13730.39,197172.69,84078.23,39030.66
1,2023-02-01,366222.56,8807.66,410356.77,112535.17,65725.18,2842.47,28006.11,10497.3,110558.39,13834.33,243529.62,5912.22,45489.76,8672.43,131728.88
3,2023-11-01,358928.19,13924.89,149056.13,56736.89,276251.87,14366.78,12630.1,2512.12,24897.89,16152.7,200248.57,-11883.5,121940.7,61559.16,87816.28
